Created as New Dataset,Sample 052 By Administrator Date Tuesday, October 29 2019
cm-1,A,
5885.13,0.4617,
5885,0.4627,
5884.88,0.4641,
5884.75,0.4649,
5884.63,0.4651,
5884.5,0.4653,
5884.38,0.4658,
5884.25,0.4666,
5884.13,0.4669,
5884,0.4663,
5883.88,0.4651,
5883.75,0.4637,
5883.63,0.4626,
5883.5,0.4622,
5883.38,0.4627,
5883.25,0.4638,
5883.13,0.4651,
5883,0.4658,
5882.88,0.4655,
5882.75,0.4643,
5882.63,0.4631,
5882.5,0.4624,
5882.38,0.4624,
5882.25,0.463,
5882.13,0.4637,
5882,0.4642,
5881.88,0.4644,
5881.75,0.4642,
5881.63,0.4636,
5881.5,0.4627,
5881.38,0.4617,
5881.25,0.4609,
5881.13,0.4606,
5881,0.4609,
5880.88,0.4617,
5880.75,0.4623,
5880.63,0.4626,
5880.5,0.4628,
5880.38,0.4632,
5880.25,0.4638,
5880.13,0.4644,
5880,0.4649,
5879.88,0.4648,
5879.75,0.464,
5879.63,0.4629,
5879.5,0.4619,
5879.38,0.4614,
5879.25,0.4614,
5879.13,0.4618,
5879,0.4626,
5878.88,0.4635,
5878.75,0.4638,
5878.63,0.4634,
5878.5,0.4629,
5878.38,0.4626,
5878.25,0.4625,
5878.13,0.4625,
5878,0.4632,
5877.88,0.4645,
5877.75,0.4655,
5877.63,0.4655,
5877.5,0.4645,
5877.38,0.4635,
5877.25,0.4629,
5877.13,0.4627,
5877,0.4624,
5876.88,0.4624,
5876.75,0.4626,
5876.63,0.4629,
5876.5,0.4629,
5876.38,0.463,
5876.25,0.4631,
5876.13,0.4631,
5876,0.463,
5875.88,0.4629,
5875.75,0.4628,
5875.63,0.4627,
5875.5,0.463,
5875.38,0.4638,
5875.25,0.465,
5875.13,0.4658,
5875,0.4655,
5874.88,0.4645,
5874.75,0.4635,
5874.63,0.4628,
5874.5,0.4626,
5874.38,0.4627,
5874.25,0.4628,
5874.13,0.4627,
5874,0.4624,
5873.88,0.462,
5873.75,0.4619,
5873.63,0.4624,
5873.5,0.4636,
5873.38,0.465,
5873.25,0.4658,
5873.13,0.4654,
5873,0.4644,
5872.88,0.4635,
5872.75,0.4633,
5872.63,0.4634,
5872.5,0.4634,
5872.38,0.4634,
5872.25,0.4635,
5872.13,0.4634,
5872,0.4631,
5871.88,0.4627,
5871.75,0.4627,
5871.63,0.4632,
5871.5,0.464,
5871.38,0.4648,
5871.25,0.4653,
5871.13,0.4653,
5871,0.465,
5870.88,0.4645,
5870.75,0.4638,
5870.63,0.4629,
5870.5,0.4618,
5870.38,0.4612,
5870.25,0.4617,
5870.13,0.4627,
5870,0.4634,
5869.88,0.4637,
5869.75,0.4638,
5869.63,0.464,
5869.5,0.4644,
5869.38,0.4649,
5869.25,0.4656,
5869.13,0.4663,
5869,0.4667,
5868.88,0.4663,
5868.75,0.4652,
5868.63,0.4639,
5868.5,0.4629,
5868.38,0.4622,
5868.25,0.462,
5868.13,0.4623,
5868,0.4628,
5867.88,0.4632,
5867.75,0.4634,
5867.63,0.4636,
5867.5,0.464,
5867.38,0.4647,
5867.25,0.4655,
5867.13,0.4661,
5867,0.4666,
5866.88,0.4667,
5866.75,0.4662,
5866.63,0.4648,
5866.5,0.463,
5866.38,0.4616,
5866.25,0.4614,
5866.13,0.462,
5866,0.4631,
5865.88,0.4642,
5865.75,0.4649,
5865.63,0.4651,
5865.5,0.4648,
5865.38,0.4642,
5865.25,0.4637,
5865.13,0.4635,
5865,0.4635,
5864.88,0.4638,
5864.75,0.4641,
5864.63,0.4643,
5864.5,0.4644,
5864.38,0.4644,
5864.25,0.4643,
5864.13,0.464,
5864,0.4635,
5863.88,0.4634,
5863.75,0.4637,
5863.63,0.4641,
5863.5,0.464,
5863.38,0.4633,
5863.25,0.4624,
5863.13,0.4619,
5863,0.4621,
5862.88,0.463,
5862.75,0.4641,
5862.63,0.4651,
5862.5,0.4656,
5862.38,0.4655,
5862.25,0.465,
5862.13,0.4642,
5862,0.463,
5861.88,0.4617,
5861.75,0.4611,
5861.63,0.4614,
5861.5,0.4621,
5861.38,0.4626,
5861.25,0.4627,
5861.13,0.463,
5861,0.4638,
5860.88,0.4646,
5860.75,0.465,
5860.63,0.4653,
5860.5,0.4656,
5860.38,0.466,
5860.25,0.4659,
5860.13,0.465,
5860,0.4639,
5859.88,0.4632,
5859.75,0.4633,
5859.63,0.4638,
5859.5,0.4641,
5859.38,0.4639,
5859.25,0.4636,
5859.13,0.4636,
5859,0.464,
5858.88,0.464,
5858.75,0.4633,
5858.63,0.4622,
5858.5,0.4617,
5858.38,0.4622,
5858.25,0.4632,
5858.13,0.4639,
5858,0.4645,
5857.88,0.465,
5857.75,0.4651,
5857.63,0.4647,
5857.5,0.4639,
5857.38,0.4635,
5857.25,0.4641,
5857.13,0.4648,
5857,0.4647,
5856.88,0.4637,
5856.75,0.4626,
5856.63,0.4624,
5856.5,0.4632,
5856.38,0.4643,
5856.25,0.4651,
5856.13,0.465,
5856,0.4639,
5855.88,0.4623,
5855.75,0.4611,
5855.63,0.4609,
5855.5,0.4619,
5855.38,0.4634,
5855.25,0.4646,
5855.13,0.4652,
5855,0.4653,
5854.88,0.465,
5854.75,0.4644,
5854.63,0.4638,
5854.5,0.4637,
5854.38,0.4643,
5854.25,0.4652,
5854.13,0.4659,
5854,0.4658,
5853.88,0.4651,
5853.75,0.4642,
5853.63,0.4634,
5853.5,0.4629,
5853.38,0.4627,
5853.25,0.4627,
5853.13,0.4631,
5853,0.4638,
5852.88,0.4644,
5852.75,0.4645,
5852.63,0.4645,
5852.5,0.4648,
5852.38,0.4651,
5852.25,0.465,
5852.13,0.464,
5852,0.4628,
5851.88,0.4623,
5851.75,0.4626,
5851.63,0.4633,
5851.5,0.4639,
5851.38,0.4643,
5851.25,0.4643,
5851.13,0.4637,
5851,0.4628,
5850.88,0.4621,
5850.75,0.4618,
5850.63,0.4618,
5850.5,0.4622,
5850.38,0.4629,
5850.25,0.4639,
5850.13,0.4645,
5850,0.4644,
5849.88,0.4638,
5849.75,0.4631,
5849.63,0.4628,
5849.5,0.4631,
5849.38,0.464,
5849.25,0.4649,
5849.13,0.4651,
5849,0.4642,
5848.88,0.4629,
5848.75,0.462,
5848.63,0.4617,
5848.5,0.4618,
5848.38,0.4622,
5848.25,0.4629,
5848.13,0.4636,
5848,0.4639,
5847.88,0.4636,
5847.75,0.4632,
5847.63,0.4632,
5847.5,0.4635,
5847.38,0.4638,
5847.25,0.4638,
5847.13,0.4634,
5847,0.4632,
5846.88,0.4637,
5846.75,0.4649,
5846.63,0.4662,
5846.5,0.4667,
5846.38,0.4664,
5846.25,0.466,
5846.13,0.4657,
5846,0.4655,
5845.88,0.4648,
5845.75,0.4637,
5845.63,0.4631,
5845.5,0.4634,
5845.38,0.4643,
5845.25,0.4649,
5845.13,0.4646,
5845,0.4639,
5844.88,0.4633,
5844.75,0.4627,
5844.63,0.4618,
5844.5,0.4609,
5844.38,0.4609,
5844.25,0.4615,
5844.13,0.462,
5844,0.4617,
5843.88,0.4612,
5843.75,0.461,
5843.63,0.4616,
5843.5,0.4626,
5843.38,0.4638,
5843.25,0.4652,
5843.13,0.4661,
5843,0.4662,
5842.88,0.4656,
5842.75,0.465,
5842.63,0.4649,
5842.5,0.465,
5842.38,0.465,
5842.25,0.4649,
5842.13,0.465,
5842,0.4655,
5841.88,0.4657,
5841.75,0.4653,
5841.63,0.4642,
5841.5,0.4629,
5841.38,0.462,
5841.25,0.4614,
5841.13,0.4611,
5841,0.4615,
5840.88,0.4628,
5840.75,0.4646,
5840.63,0.4661,
5840.5,0.4665,
5840.38,0.4661,
5840.25,0.4654,
5840.13,0.4649,
5840,0.4645,
5839.88,0.4639,
5839.75,0.4633,
5839.63,0.4628,
5839.5,0.4627,
5839.38,0.4629,
5839.25,0.4632,
5839.13,0.4635,
5839,0.4637,
5838.88,0.464,
5838.75,0.4643,
